timestamp_utc,frequency_hz,power_db_smoothed
2026-07-14T23:00:46.128620+00:00,1418605800,-87.007
2026-07-14T23:00:46.128620+00:00,1418607264,-87.055
2026-07-14T23:00:46.128620+00:00,1418608729,-87.077
2026-07-14T23:00:46.128620+00:00,1418610194,-87.06
2026-07-14T23:00:46.128620+00:00,1418611659,-87.1
2026-07-14T23:00:46.128620+00:00,1418613124,-87.081
2026-07-14T23:00:46.128620+00:00,1418614589,-87.07
2026-07-14T23:00:46.128620+00:00,1418616053,-87.055
2026-07-14T23:00:46.128620+00:00,1418617518,-87.058
2026-07-14T23:00:46.128620+00:00,1418618983,-87.03
2026-07-14T23:00:46.128620+00:00,1418620448,-87.024
2026-07-14T23:00:46.128620+00:00,1418621913,-87.063
2026-07-14T23:00:46.128620+00:00,1418623378,-87.076
2026-07-14T23:00:46.128620+00:00,1418624842,-87.06
2026-07-14T23:00:46.128620+00:00,1418626307,-87.104
2026-07-14T23:00:46.128620+00:00,1418627772,-87.186
2026-07-14T23:00:46.128620+00:00,1418629237,-87.162
2026-07-14T23:00:46.128620+00:00,1418630702,-87.073
2026-07-14T23:00:46.128620+00:00,1418632167,-87.077
2026-07-14T23:00:46.128620+00:00,1418633632,-87.202
2026-07-14T23:00:46.128620+00:00,1418635096,-87.155
2026-07-14T23:00:46.128620+00:00,1418636561,-87.151
2026-07-14T23:00:46.128620+00:00,1418638026,-87.189
2026-07-14T23:00:46.128620+00:00,1418639491,-87.208
2026-07-14T23:00:46.128620+00:00,1418640956,-87.202
2026-07-14T23:00:46.128620+00:00,1418642421,-87.182
2026-07-14T23:00:46.128620+00:00,1418643885,-87.239
2026-07-14T23:00:46.128620+00:00,1418645350,-87.203
2026-07-14T23:00:46.128620+00:00,1418646815,-87.257
2026-07-14T23:00:46.128620+00:00,1418648280,-87.206
2026-07-14T23:00:46.128620+00:00,1418649745,-87.298
2026-07-14T23:00:46.128620+00:00,1418651210,-87.351
2026-07-14T23:00:46.128620+00:00,1418652675,-87.305
2026-07-14T23:00:46.128620+00:00,1418654139,-87.367
2026-07-14T23:00:46.128620+00:00,1418655604,-87.391
2026-07-14T23:00:46.128620+00:00,1418657069,-87.385
2026-07-14T23:00:46.128620+00:00,1418658534,-87.442
2026-07-14T23:00:46.128620+00:00,1418659999,-87.496
2026-07-14T23:00:46.128620+00:00,1418661464,-87.439
2026-07-14T23:00:46.128620+00:00,1418662928,-87.426
2026-07-14T23:00:46.128620+00:00,1418664393,-87.483
2026-07-14T23:00:46.128620+00:00,1418665858,-87.562
2026-07-14T23:00:46.128620+00:00,1418667323,-87.618
2026-07-14T23:00:46.128620+00:00,1418668788,-87.695
2026-07-14T23:00:46.128620+00:00,1418670253,-87.656
2026-07-14T23:00:46.128620+00:00,1418671717,-87.628
2026-07-14T23:00:46.128620+00:00,1418673182,-87.739
2026-07-14T23:00:46.128620+00:00,1418674647,-87.77
2026-07-14T23:00:46.128620+00:00,1418676112,-87.813
2026-07-14T23:00:46.128620+00:00,1418677577,-87.76
2026-07-14T23:00:46.128620+00:00,1418679042,-87.775
2026-07-14T23:00:46.128620+00:00,1418680507,-87.867
2026-07-14T23:00:46.128620+00:00,1418681971,-87.912
2026-07-14T23:00:46.128620+00:00,1418683436,-87.94
2026-07-14T23:00:46.128620+00:00,1418684901,-87.993
2026-07-14T23:00:46.128620+00:00,1418686366,-88.012
2026-07-14T23:00:46.128620+00:00,1418687831,-88.049
2026-07-14T23:00:46.128620+00:00,1418689296,-88.036
2026-07-14T23:00:46.128620+00:00,1418690760,-88.145
2026-07-14T23:00:46.128620+00:00,1418692225,-88.166
2026-07-14T23:00:46.128620+00:00,1418693690,-88.225
2026-07-14T23:00:46.128620+00:00,1418695155,-88.31
2026-07-14T23:00:46.128620+00:00,1418696620,-88.27
2026-07-14T23:00:46.128620+00:00,1418698085,-88.336
2026-07-14T23:00:46.128620+00:00,1418699550,-88.404
2026-07-14T23:00:46.128620+00:00,1418701014,-88.459
2026-07-14T23:00:46.128620+00:00,1418702479,-88.475
