timestamp_utc,frequency_hz,power_db_avg,power_db_std,power_db_min,power_db_max,measurement_count,power_db_smoothed
2026-04-02T10:45:26.891317+00:00,1419405800.0,-54.05821163113251,0.7679179783621817,-55.427796731249344,-53.28608051162004,7,-54.411702589309996
2026-04-02T10:45:26.891317+00:00,1419407802.002002,-54.47543053288973,1.4613389384597189,-56.17545526163851,-52.288098839566445,7,-54.39235980319708
2026-04-02T10:45:26.891317+00:00,1419409804.004004,-53.760553398198056,0.86518525586677,-55.308498989660734,-52.622737623467785,7,-54.35038396026453
2026-04-02T10:45:26.891317+00:00,1419411806.006006,-54.46957409940446,1.0757451092358548,-56.37913356288412,-53.50098267201212,7,-54.28661419154595
2026-04-02T10:45:26.891317+00:00,1419413808.008008,-53.879791892727646,0.8119058576179842,-55.1063883097823,-53.0071630467043,7,-54.201889628074944
2026-04-02T10:45:26.891317+00:00,1419415810.01001,-54.78597517517169,0.3182859904981272,-55.148239413992265,-54.13187591902141,7,-54.09704940088512
2026-04-02T10:45:26.891317+00:00,1419417812.012012,-54.28376363227409,0.7631663990234732,-55.46532910236904,-53.32341975504149,7,-53.972932641010075
2026-04-02T10:45:26.891317+00:00,1419419814.014014,-54.00947532754348,0.4006992624020002,-54.448529674782165,-53.32651642565752,7,-53.83037847948343
2026-04-02T10:45:26.891317+00:00,1419421816.016016,-54.204763248832016,0.6920066980574164,-55.11448657613885,-53.208013885614605,7,-53.67022604733877
2026-04-02T10:45:26.891317+00:00,1419423818.018018,-53.716555638649275,1.1565772358192332,-55.35147863768149,-52.27712896239013,7,-53.493314475609715
2026-04-02T10:45:26.891317+00:00,1419425820.02002,-53.11250740378905,0.722492824277924,-54.46504070688264,-52.33813574175193,7,-53.30048289532987
2026-04-02T10:45:26.891317+00:00,1419427822.022022,-53.34218249047843,0.7042577832431869,-54.11944438959702,-52.31383246702116,7,-53.092570437532835
2026-04-02T10:45:26.891317+00:00,1419429824.024024,-52.28798716101452,1.1203929375447756,-53.43628512119136,-50.70513324401608,7,-52.870416233252215
2026-04-02T10:45:26.891317+00:00,1419431826.026026,-52.7512240329757,1.4209157675318644,-55.02273368131809,-50.66906255052431,7,-52.63485941352162
2026-04-02T10:45:26.891317+00:00,1419433828.028028,-52.30458026537771,1.2664558591708104,-54.03451369737754,-50.65252982499854,7,-52.38673910937465
2026-04-02T10:45:26.891317+00:00,1419435830.03003,-52.19784317036959,1.3141963167797217,-54.06681640237821,-49.70979435531595,7,-52.12689445184491
2026-04-02T10:45:26.891317+00:00,1419437832.032032,-51.35212030345065,1.2247437227206779,-53.24873533814293,-49.940186703078176,7,-51.85616457196602
2026-04-02T10:45:26.891317+00:00,1419439834.034034,-51.265592760207845,0.18969684178207954,-51.5565150076044,-51.05825942124826,7,-51.57538860077156
2026-04-02T10:45:26.891317+00:00,1419441836.036036,-51.4240660778266,0.8685322026742994,-52.755366891432594,-49.80190459122038,7,-51.28540566929515
2026-04-02T10:45:26.891317+00:00,1419443838.038038,-51.44937067105658,1.274122287207345,-53.19128032411996,-49.703620989036025,7,-50.9870549085704
2026-04-02T10:45:26.891317+00:00,1419445840.04004,-50.10632152346415,1.4534630351429652,-51.89848332890121,-48.46847500752828,7,-50.681175449630906
2026-04-02T10:45:26.891317+00:00,1419447842.042042,-50.78707600313442,0.7554462089580157,-52.19374357250728,-50.00259573388598,7,-50.36860642351028
2026-04-02T10:45:26.891317+00:00,1419449844.044044,-49.99925914427398,0.9111386601679036,-51.30000515045144,-48.882458722616086,7,-50.05018696124212
2026-04-02T10:45:26.891317+00:00,1419451846.046046,-49.91137832601154,1.156724970954701,-51.8878064136351,-48.185050660470296,7,-49.726756193860034
2026-04-02T10:45:26.891317+00:00,1419453848.048048,-49.68026673912325,1.3174430802887187,-51.14647825140329,-47.87949312637288,7,-49.399153252397625
2026-04-02T10:45:26.891317+00:00,1419455850.05005,-48.589747436757385,0.5454698879124766,-49.20844102203125,-47.941094038050544,7,-49.06821726788283
2026-04-02T10:45:26.891317+00:00,1419457852.052052,-48.88081524152847,1.3321699568992473,-50.8591365616768,-46.90522585409256,7,-48.741445644215005
2026-04-02T10:45:26.891317+00:00,1419459854.054054,-48.1019354786586,0.931032361749535,-49.57951251053222,-46.58363513603511,7,-48.426330484725185
2026-04-02T10:45:26.891317+00:00,1419461856.056056,-47.834827721255905,0.898020803878022,-49.15350950401804,-46.62659000583199,7,-48.09568008566059
2026-04-02T10:45:26.891317+00:00,1419463858.058058,-47.94893002386855,0.5270208644400787,-48.68266157714691,-47.4134345767008,7,-47.78420916937019
2026-04-02T10:45:26.891317+00:00,1419465860.06006,-47.467789055333505,1.0819257367253605,-48.77751003822578,-45.91419961318517,7,-47.45335184258277
2026-04-02T10:45:26.891317+00:00,1419467862.062062,-46.96159773788702,0.7132797293014403,-48.001693349793314,-45.881082191502536,7,-47.16230045291686
2026-04-02T10:45:26.891317+00:00,1419469864.064064,-46.26638974924743,0.9264056835708645,-47.69331403936441,-45.18212378487341,7,-46.8504784713465
2026-04-02T10:45:26.891317+00:00,1419471866.066066,-46.65572965135313,0.6050476518458875,-47.81746344612042,-46.003936684300335,7,-46.51911373975667
2026-04-02T10:45:26.891317+00:00,1419473868.068068,-45.83429494673289,0.46740603076391823,-46.37425944516944,-44.90576131249608,7,-46.22547183562341
2026-04-02T10:45:26.891317+00:00,1419475870.07007,-45.525125201793344,0.8127932148802294,-46.536324239164834,-44.66215731584926,7,-45.92745005186125
2026-04-02T10:45:26.891317+00:00,1419477872.072072,-45.40536912454843,0.7291968739588406,-46.22650330739116,-44.64417544973697,7,-45.60919508869638
2026-04-02T10:45:26.891317+00:00,1419479874.074074,-45.06525622109147,1.3128171306109448,-46.561281553274746,-43.376211469454965,7,-45.3018006124737
2026-04-02T10:45:26.891317+00:00,1419481876.076076,-45.041418982138815,1.3386358376916223,-47.60879360646543,-43.71399776669482,7,-44.99460197744808
2026-04-02T10:45:26.891317+00:00,1419483878.078078,-45.4296744869182,0.7059579804276198,-46.48324088282882,-44.375264594028174,7,-44.69509716222178
2026-04-02T10:45:26.891317+00:00,1419485880.08008,-43.787563938641256,0.7474549239354027,-44.73684851709928,-43.00401155519596,7,-44.40205204828088
2026-04-02T10:45:26.891317+00:00,1419487882.082082,-43.7697565686082,0.983800309600424,-45.39898208086957,-42.473673994422015,7,-44.10057987300168
2026-04-02T10:45:26.891317+00:00,1419489884.084084,-43.63434019799543,0.701650262295251,-44.718187734993066,-42.35189968112864,7,-43.807703185945414
2026-04-02T10:45:26.891317+00:00,1419491886.086086,-44.078232522683436,0.9243781071582008,-45.20888555672084,-43.18756074852677,7,-43.5104563751843
2026-04-02T10:45:26.891317+00:00,1419493888.088088,-43.71743129287811,1.5267570138207769,-45.928315557510814,-41.25567062594934,7,-43.2302170573561
2026-04-02T10:45:26.891317+00:00,1419495890.09009,-43.465741417680256,1.2269006454399294,-45.9006621261553,-42.15188376286217,7,-42.9775190171403
2026-04-02T10:45:26.891317+00:00,1419497892.092092,-43.36965777244526,0.7726317706694245,-44.43041274499807,-42.51238970597843,7,-42.672825597085705
2026-04-02T10:45:26.891317+00:00,1419499894.094094,-41.99078099952701,0.6402214717664053,-43.20403346444162,-41.34988084080487,7,-42.40745325675385
2026-04-02T10:45:26.891317+00:00,1419501896.096096,-42.1220065568178,1.1383510623435988,-43.46755642430746,-40.11186234911072,7,-42.11993286294592
2026-04-02T10:45:26.891317+00:00,1419503898.098098,-41.965301005740024,1.319460475834911,-43.73467526211098,-39.5991218768845,7,-41.86699462387841
2026-04-02T10:45:26.891317+00:00,1419505900.1001,-42.17463280837951,1.8989534944474489,-45.1273964865098,-39.900288655666586,7,-41.651507699532154
2026-04-02T10:45:26.891317+00:00,1419507902.102102,-41.3628733839785,1.1638127810141436,-43.354675889260406,-39.68238508559678,7,-41.39379809614284
2026-04-02T10:45:26.891317+00:00,1419509904.104104,-41.069290820071885,1.2722075867822027,-42.62697766992442,-39.40761460760265,7,-41.15482866718939
2026-04-02T10:45:26.891317+00:00,1419511906.106106,-40.559760776661456,0.960464108712437,-41.31884592208225,-38.65728704417541,7,-40.890025906715465
2026-04-02T10:45:26.891317+00:00,1419513908.108108,-40.32638857507369,0.680998649903915,-41.80618107613714,-39.79273795539082,7,-40.6510500831306
2026-04-02T10:45:26.891317+00:00,1419515910.11011,-40.18381644448795,0.5446663694868844,-41.12218686118192,-39.4941114477,7,-40.42177160692794
2026-04-02T10:45:26.891317+00:00,1419517912.112112,-39.59707174451445,1.3779136203067694,-40.84876053599638,-37.52318363385318,7,-40.20420806471196
2026-04-02T10:45:26.891317+00:00,1419519914.114114,-39.769107705884934,1.1715843396500698,-41.2816791546625,-37.966564510041785,7,-39.98469173730802
2026-04-02T10:45:26.891317+00:00,1419521916.116116,-40.22422355535984,1.378905386693579,-41.85971625339237,-37.77543845219411,7,-39.74772667036519
2026-04-02T10:45:26.891317+00:00,1419523918.118118,-39.2573233683353,0.4908388938680075,-40.12879980639419,-38.50163429304708,7,-39.54169296778994
2026-04-02T10:45:26.891317+00:00,1419525920.12012,-38.999116702247555,0.8370899559305036,-39.92070766008671,-37.94219016539709,7,-39.31425900117387
2026-04-02T10:45:26.891317+00:00,1419527922.122122,-39.158408460239116,0.5722497833697692,-39.86879280818725,-38.3828636558215,7,-39.08266151231448
2026-04-02T10:45:26.891317+00:00,1419529924.124124,-39.187115086861105,0.9547562272906766,-40.66247810787237,-37.98038626331764,7,-38.86856159700709
2026-04-02T10:45:26.891317+00:00,1419531926.126126,-38.230322470640026,0.7605714253779872,-39.0812565834668,-36.91760339511427,7,-38.64399585775179
2026-04-02T10:45:26.891317+00:00,1419533928.128128,-38.521992391564595,1.3656116660915483,-40.18434274774272,-36.77782406337066,7,-38.42076541772468
2026-04-02T10:45:26.891317+00:00,1419535930.13013,-38.037505383629494,0.7451491317621046,-39.01848606922053,-36.97108490133862,7,-38.24749093304091
2026-04-02T10:45:26.891317+00:00,1419537932.132132,-38.44491848845535,0.6665972548162875,-39.43759736978731,-37.40712142401022,7,-38.0207334856946
2026-04-02T10:45:26.891317+00:00,1419539934.134134,-37.49619592078078,0.8567361413001466,-38.50500156658202,-36.494540562656,7,-37.81812823642946
2026-04-02T10:45:26.891317+00:00,1419541936.136136,-37.68676159050842,1.12390498012222,-39.18739310505179,-35.994827914168795,7,-37.62572240258651
2026-04-02T10:45:26.891317+00:00,1419543938.138138,-37.51092748889481,1.0179236614795097,-38.80057920917455,-36.14640936747047,7,-37.43990284105574
2026-04-02T10:45:26.891317+00:00,1419545940.14014,-36.89213750425089,1.096242595175943,-38.800549495565846,-35.21813039778726,7,-37.25377798480621
2026-04-02T10:45:26.891317+00:00,1419547942.142142,-37.58931966548597,1.1534040709535927,-39.0121123730669,-35.87318938468916,7,-37.10806519632836
2026-04-02T10:45:26.891317+00:00,1419549944.144144,-37.287357740401966,1.4124862074885438,-39.89478296214304,-35.76646382440112,7,-36.94496335832059
2026-04-02T10:45:26.891317+00:00,1419551946.146146,-37.70296763521911,0.8271527416262237,-38.76389034834399,-36.182594529080525,7,-36.77480608868848
2026-04-02T10:45:26.891317+00:00,1419553948.148148,-36.86439100861259,0.7807523798726972,-37.99865523551966,-35.845213850396355,7,-36.616781351594824
2026-04-02T10:45:26.891317+00:00,1419555950.15015,-35.653866636117385,0.8691337609365264,-37.5207167724983,-34.91667495274139,7,-36.451845833834206
2026-04-02T10:45:26.891317+00:00,1419557952.152152,-36.19535037692027,0.5323917707301355,-36.96736091273185,-35.32917116693498,7,-36.298120943165074
2026-04-02T10:45:26.891317+00:00,1419559954.154154,-36.11569639193487,1.2955142915131597,-38.03145591086808,-33.98378132002081,7,-36.15297811017012
2026-04-02T10:45:26.891317+00:00,1419561956.156156,-36.561843816569464,1.333689592233215,-38.477345658850616,-34.307716628673454,7,-35.99527037942246
2026-04-02T10:45:26.891317+00:00,1419563958.158158,-35.717303078093444,1.148873107083037,-37.1786630391562,-34.29959517710345,7,-35.83564060010495
2026-04-02T10:45:26.891317+00:00,1419565960.16016,-35.80415836257854,1.1695909974218066,-37.73725685034144,-34.26608679213322,7,-35.68724274503873
2026-04-02T10:45:26.891317+00:00,1419567962.162162,-35.2378030597422,0.8330701944234272,-36.46432569296228,-34.23866894640333,7,-35.51939647908194
2026-04-02T10:45:26.891317+00:00,1419569964.164164,-35.030935337946765,1.1466773631906957,-37.37797026088744,-34.27683889033934,7,-35.36051480857896
2026-04-02T10:45:26.891317+00:00,1419571966.166166,-35.122642957270635,1.1292429296262017,-36.91967713352321,-33.649293409427564,7,-35.208434955825616
2026-04-02T10:45:26.891317+00:00,1419573968.168168,-34.68169725859547,0.9600933084305128,-36.60291044638962,-33.876204661650576,7,-35.06061173283952
2026-04-02T10:45:26.891317+00:00,1419575970.17017,-34.82268306177416,0.9200921628394517,-36.334762870728646,-33.974777241178465,7,-34.92101721476539
2026-04-02T10:45:26.891317+00:00,1419577972.172172,-34.88600550837645,0.9210814546760652,-36.17236301458085,-33.550252268016024,7,-34.77131729487302
2026-04-02T10:45:26.891317+00:00,1419579974.174174,-34.40377980537302,1.1671293765848236,-35.40895583619795,-32.06594162200999,7,-34.63840540008841
2026-04-02T10:45:26.891317+00:00,1419581976.176176,-34.66622753531232,0.681065293692804,-35.531229184074526,-33.79970513105342,7,-34.529877506945994
2026-04-02T10:45:26.891317+00:00,1419583978.178178,-34.942083731591495,0.8521900363446083,-36.365076698316905,-34.07900187170446,7,-34.3976220007505
2026-04-02T10:45:26.891317+00:00,1419585980.18018,-34.03461472045281,1.5683592747317134,-37.15170456228819,-32.84432467102523,7,-34.28000168186974
2026-04-02T10:45:26.891317+00:00,1419587982.182182,-34.5241032966105,0.7805784044542993,-35.28904612817896,-33.08171755369265,7,-34.143350517880386
2026-04-02T10:45:26.891317+00:00,1419589984.184184,-33.90439046113859,1.0682505073737136,-35.42786085161508,-31.845052490101903,7,-34.038562858032286
2026-04-02T10:45:26.891317+00:00,1419591986.186186,-33.61102875700306,0.6968297522034346,-34.394528501105626,-32.664214157493795,7,-33.94509435110624
2026-04-02T10:45:26.891317+00:00,1419593988.188188,-34.15049197080065,0.7599165221044464,-35.06903201960097,-33.1649608305135,7,-33.820486591573626
2026-04-02T10:45:26.891317+00:00,1419595990.19019,-34.26714258612965,0.9148293268844984,-35.377351263968166,-32.68199457874588,7,-33.71729195779696
2026-04-02T10:45:26.891317+00:00,1419597992.192192,-33.015385031585495,1.0217741077577698,-35.15657932874559,-32.11437397618677,7,-33.587057492408704
2026-04-02T10:45:26.891317+00:00,1419599994.194194,-33.88578607576774,1.0372279934777788,-35.181852625897214,-32.09082976748838,7,-33.512180478533
2026-04-02T10:45:26.891317+00:00,1419601996.196196,-33.055841704193014,1.0333988777580452,-34.19771715201071,-31.859024157977515,7,-33.394652304805
2026-04-02T10:45:26.891317+00:00,1419603998.198198,-32.94012097701756,0.6192136267123429,-33.796958079627515,-32.01874820310608,7,-33.319276560777695
2026-04-02T10:45:26.891317+00:00,1419606000.2002003,-33.27039209177051,1.3574658870020893,-36.1373496757826,-31.821169705453222,7,-33.235898675462295
2026-04-02T10:45:26.891317+00:00,1419608002.2022023,-33.47733474557035,1.2352905223582487,-35.131681949529174,-31.9791586595588,7,-33.12772763392683
2026-04-02T10:45:26.891317+00:00,1419610004.2042043,-32.70467717175891,1.5016572430347563,-34.32892334470502,-30.12766032811264,7,-33.058095497533316
2026-04-02T10:45:26.891317+00:00,1419612006.2062063,-33.0865124976818,0.9791812753551257,-34.132290439731804,-31.391339707310543,7,-32.983645342476215
2026-04-02T10:45:26.891317+00:00,1419614008.2082083,-32.893041910164314,1.2988380940880466,-34.03316049812744,-30.47619980873534,7,-32.917993573784834
2026-04-02T10:45:26.891317+00:00,1419616010.2102103,-32.45454509249873,1.2812384235520884,-35.19941937461967,-31.302465739261656,7,-32.83271271047508
2026-04-02T10:45:26.891317+00:00,1419618012.2122123,-33.19957961216123,0.48439913811379187,-33.92782578158454,-32.529272860272364,7,-32.8001978910511
2026-04-02T10:45:26.891317+00:00,1419620014.2142143,-32.52748276587699,0.5025159828761872,-33.38560855853259,-31.937878700527424,7,-32.731674855398246
2026-04-02T10:45:26.891317+00:00,1419622016.2162163,-32.647044843687375,0.5306658954164332,-33.54065185715727,-31.851778208388524,7,-32.67500521727655
2026-04-02T10:45:26.891317+00:00,1419624018.2182183,-33.33041045272579,0.6778563019494465,-34.45440069685348,-32.7008627996434,7,-32.63184290305445
