timestamp_utc,frequency_hz,power_db
2026-03-30T07:47:37.663686+00:00,1419405800.0,-55.07254548749455
2026-03-30T07:47:37.663686+00:00,1419407802.002002,-55.0895341995413
2026-03-30T07:47:37.663686+00:00,1419409804.004004,-54.74927668471926
2026-03-30T07:47:37.663686+00:00,1419411806.006006,-56.2635481000165
2026-03-30T07:47:37.663686+00:00,1419413808.008008,-54.58107426961044
2026-03-30T07:47:37.663686+00:00,1419415810.01001,-55.00796504350134
2026-03-30T07:47:37.663686+00:00,1419417812.012012,-56.083744517007545
2026-03-30T07:47:37.663686+00:00,1419419814.014014,-55.91958263228168
2026-03-30T07:47:37.663686+00:00,1419421816.016016,-56.897289012103926
2026-03-30T07:47:37.663686+00:00,1419423818.018018,-56.0909765085003
2026-03-30T07:47:37.663686+00:00,1419425820.02002,-53.906610177433606
2026-03-30T07:47:37.663686+00:00,1419427822.022022,-55.7673611741208
2026-03-30T07:47:37.663686+00:00,1419429824.024024,-54.231209328428726
2026-03-30T07:47:37.663686+00:00,1419431826.026026,-54.93056110496716
2026-03-30T07:47:37.663686+00:00,1419433828.028028,-53.38125769136439
2026-03-30T07:47:37.663686+00:00,1419435830.03003,-54.58300595494425
2026-03-30T07:47:37.663686+00:00,1419437832.032032,-54.97195520030067
2026-03-30T07:47:37.663686+00:00,1419439834.034034,-53.63176101184763
2026-03-30T07:47:37.663686+00:00,1419441836.036036,-54.94346369885694
2026-03-30T07:47:37.663686+00:00,1419443838.038038,-54.4309720802945
2026-03-30T07:47:37.663686+00:00,1419445840.04004,-54.40745772902324
2026-03-30T07:47:37.663686+00:00,1419447842.042042,-52.724719702448404
2026-03-30T07:47:37.663686+00:00,1419449844.044044,-52.43554030979384
2026-03-30T07:47:37.663686+00:00,1419451846.046046,-53.62981510169237
2026-03-30T07:47:37.663686+00:00,1419453848.048048,-53.23106166968219
2026-03-30T07:47:37.663686+00:00,1419455850.05005,-50.890810202672725
2026-03-30T07:47:37.663686+00:00,1419457852.052052,-50.03260958495988
2026-03-30T07:47:37.663686+00:00,1419459854.054054,-50.86401297499595
2026-03-30T07:47:37.663686+00:00,1419461856.056056,-49.814871287470034
2026-03-30T07:47:37.663686+00:00,1419463858.058058,-50.68216954647812
2026-03-30T07:47:37.663686+00:00,1419465860.06006,-49.86613000998022
2026-03-30T07:47:37.663686+00:00,1419467862.062062,-49.02602292548978
2026-03-30T07:47:37.663686+00:00,1419469864.064064,-49.24655884875015
2026-03-30T07:47:37.663686+00:00,1419471866.066066,-47.8259969047182
2026-03-30T07:47:37.663686+00:00,1419473868.068068,-50.64233270630408
2026-03-30T07:47:37.663686+00:00,1419475870.07007,-48.40440905380848
2026-03-30T07:47:37.663686+00:00,1419477872.072072,-48.31595664011036
2026-03-30T07:47:37.663686+00:00,1419479874.074074,-47.59148735721473
2026-03-30T07:47:37.663686+00:00,1419481876.076076,-47.59147352963853
2026-03-30T07:47:37.663686+00:00,1419483878.078078,-47.663787273996725
2026-03-30T07:47:37.663686+00:00,1419485880.08008,-46.44649467210226
2026-03-30T07:47:37.663686+00:00,1419487882.082082,-48.508124264240784
2026-03-30T07:47:37.663686+00:00,1419489884.084084,-44.32342763013935
2026-03-30T07:47:37.663686+00:00,1419491886.086086,-47.18263964991282
2026-03-30T07:47:37.663686+00:00,1419493888.088088,-45.89871089631768
2026-03-30T07:47:37.663686+00:00,1419495890.09009,-45.284697692832935
2026-03-30T07:47:37.663686+00:00,1419497892.092092,-43.9937005003732
2026-03-30T07:47:37.663686+00:00,1419499894.094094,-46.67682330162078
2026-03-30T07:47:37.663686+00:00,1419501896.096096,-44.134364878021294
2026-03-30T07:47:37.663686+00:00,1419503898.098098,-44.24673951751351
